PostalCode,Address,Route_January,Route_July,LeafYardWaste_January,LeafYardWaste_July,PropertyType
P6B 1W3,82 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W5,128 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V3,82 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N5,19 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W5,134 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V4,129 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N5,23 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2L8,45 Grosvenor Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,73 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,77 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2L8,43 Grosvenor Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G8,91 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,28 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,26 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W6,121 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W6,135 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W2,67 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W6,127 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W6,131 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S5,71 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K8,372 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H8,90 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G8,117 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,92 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,94 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J7,109 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2V6,66 Francis Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2L8,39 Grosvenor Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W2,75 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J7,105 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V4,127 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W2,77 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2L8,41 Grosvenor Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2L8,37 Grosvenor Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S5,79 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S5,87 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V4,141 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2E5,42 Walnut Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2L9,42 Grosvenor Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M5,86 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S5,85 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2E5,48 Walnut Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H8,86 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2E5,44 Walnut Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J7,113 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2E5,52 Walnut Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G8,121 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,67 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W6,139 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V6,173 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M5,66 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1P5,277 Bruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1P5,269 Bruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J6,104 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J6,110 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1P5,273 Bruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M5,74 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M5,78 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1X3,126 St. George's Avenue East,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1X3,130 St. George's Avenue East,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1X3,134 St. George's Avenue East,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,120 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,18 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,14 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V7,180 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V7,176 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,26 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K7,387 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H4,207 Tancred Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V7,196 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J6,86 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J5,67 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,71 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J6,90 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G8,125 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,70 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W5,140 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,69 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W2,85 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K8,376 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W2,83 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,63 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W2,81 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,68 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,65 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,59 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2M7,61 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1W4,89 Pardee Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V7,172 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J6,98 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,80 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J5,69 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J6,94 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,88 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,106 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,110 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V7,190 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,118 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,34 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,28 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,116 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,112 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,96 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,92 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,42 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,78 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1X5,144 St. George's Avenue East,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V7,192 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,6 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1X5,140 St. George's Avenue East,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H6,5 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H6,17 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,12 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,8 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,10 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1X5,156 St. George's Avenue East,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1X5,148 St. George's Avenue East,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1X5,152 St. George's Avenue East,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1P5,275 Bruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,86 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V4,159 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J3,38 Cedar Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V4,151 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,100 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V6,171 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,100 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,14 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J7,95 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,104 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6A 2S4,98 London Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G7,27 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J7,101 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,16 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J6,68 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2N4,20 Dufferin Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H6,9 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1P5,279 Bruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G7,45 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,118 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1P5,283 Bruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,112 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H7,12 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,106 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J3,42 Cedar Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H7,16 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2J6,72 Birch Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V6,185 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T6,116 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V6,181 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V6,177 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1P5,287 Bruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,46 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,56 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,10 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H6,25 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V6,201 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1V6,193 Wilcox Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,66 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,62 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1P3,259 Bruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Non-residential
P6B 2H6,29 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H6,45 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G6,6 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 1T7,89 Railroad Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
,95 Trelawne Avenue,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K5,312 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G7,57 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K5,344 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2G7,49 Spruce Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K5,346 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H7,18 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H7,22 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K5,314 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2H7,30 Maple Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K5,348 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K5,308 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6B 2K7,313 Wilson Street,Tuesday,Tuesday,"Route ""A""","Route ""A""",Residential
P6C 3H5,459 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H3,418 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H3,414 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H5,463 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J7,360 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J7,356 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,380 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H4,460 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H4,464 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H5,431 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,387 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,391 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N3,314 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N3,330 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N3,336 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,384 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E5,345 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E5,349 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J9,382 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,388 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,396 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,392 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E5,337 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E5,341 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,387 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,383 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,381 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J7,370 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J7,374 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,346 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,389 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J8,377 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J8,381 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J8,383 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 1B4,44 St. George's Avenue West,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H1,357 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H1,365 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H1,367 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2B2,393 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3G9,356 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3G9,352 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3G9,360 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3G9,366 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2B2,405 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,363 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3G9,368 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,352 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J9,388 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,354 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 1B4,32 St. George's Avenue West,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J9,384 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N2,333 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Non-residential
P6C 1B4,40 St. George's Avenue West,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 1B4,36 St. George's Avenue West,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 1B4,26 St. George's Avenue West,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 1B4,30 St. George's Avenue West,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N3,340 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H1,351 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H1,371 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,405 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H2,383 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H2,385 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,395 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,399 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,423 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,427 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3G9,374 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,431 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,435 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,413 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,389 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,407 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,409 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,403 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,369 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,398 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N6,408 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,365 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,404 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H3,388 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N6,406 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,395 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3H3,392 Bush Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,391 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N6,412 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,408 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,397 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,412 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,373 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L4,435 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E6,416 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E7,417 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,371 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,439 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6B 2A9,377 North Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,445 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,415 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L3,394 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L3,430 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L3,398 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L3,434 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E8,421 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,459 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,449 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N5,453 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L4,439 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J8,391 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3N6,402 Northland Road,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L4,441 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L4,445 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J8,387 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3J8,395 John Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3L3,440 Charles Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
P6C 3E8,425 Morin Street,Wednesday,Wednesday,"Route ""A""","Route ""A""",Residential
